MonthYear,mentions,rootevent,tone,lengt,sentenceid,a1co,a2co,conf,glds
192001,136,0.86029411764705865,0.040117614454750566,4200.4485294117658,3.6691176470588238,810.16176470588221,530.33088235294144,40.808823529411754,2.2632352941176479
200504,21,0.95238095238095222,3.0802962709577546,996.47619047619048,3.2380952380952381,428.52380952380958,335.66666666666669,49.523809523809526,2.1428571428571428
200507,5,1.0,2.10526315789474,5195.0,4.0,822.4,621.2,16.0,2.5599999999999996
200508,2,0.0,4.3088110157035651,3413.0,11.0,2831.5,-1.0,10.0,-2.0
200710,6,1.0,1.7983448024913367,4045.0,2.6666666666666665,972.5,1025.1666666666667,66.666666666666671,4.1333333333333329
200712,1,1.0,2.31729055258467,3237.0,2.0,447.0,415.0,20.0,1.9
200911,1,1.0,0.28089887640449,4670.0,6.0,1814.0,1836.0,100.0,7.0
201402,11,0.72727272727272718,-1.0684633959576073,3289.5454545454545,6.2727272727272725,1698.7272727272725,1708.9999999999998,61.81818181818182,3.127272727272727
201403,36,0.58333333333333326,-0.058474395737130716,3990.2222222222231,7.3888888888888893,2188.4444444444443,1823.3333333333328,50.0,3.3166666666666669
201404,34,0.61764705882352944,-1.3474363659082509,4076.9705882352941,7.0294117647058831,1720.0588235294113,878.26470588235281,73.529411764705884,2.38235294117647
201405,43,0.79069767441860461,-1.0479820651122256,3263.7674418604643,5.0,1374.1627906976744,1180.5581395348838,62.093023255813932,-0.22325581395348826
201406,9,0.55555555555555558,-6.2422882634537027,4309.5555555555557,5.333333333333333,386.55555555555554,848.33333333333337,56.666666666666671,-3.8888888888888893
201407,36,0.55555555555555547,-0.53095477976297811,3737.2499999999986,5.3333333333333339,968.66666666666674,725.2777777777776,73.333333333333343,2.6472222222222221
201408,15,0.93333333333333335,-1.3725520884869646,2867.8,5.666666666666667,896.4666666666667,857.73333333333335,50.666666666666664,-3.8000000000000003
201409,14,0.92857142857142849,0.081125932549344429,5218.6428571428578,4.2857142857142856,494.50000000000006,661.0,31.428571428571423,1.2071428571428573
201410,32,0.3125,-0.019934210752056546,3112.375,7.6875000000000009,1838.375,1185.03125,67.812499999999986,1.4343750000000002
