week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USAGOV,USAGOV,3375,889,8.511407407407408,2166.9594074074075,1653.7656296296295,2180.893037037037,0.762962962962963,0.7007407407407408,4905.373037037037,1.4176592592592594,-2.2086495450410992,51.52,36.88485552898977,-61.48093228332352,36.74122848176922,-60.93116530185312,36.821351285116485,-59.917695872683936,1230301.0,149581.0,1219731.0,USAGOV -> USAGOV,0.0022023283994651766
2016-01-18,USAGOV,USAGOV,2885,828,8.025649913344887,1927.6135181975737,911.8679376083189,1952.1549393414211,0.7046793760831889,0.7410745233968804,4553.609358752166,0.11341421143847383,-2.118536804154571,49.29289428076257,35.87756849965102,-50.98334001639924,36.02908259595251,-48.66132255408241,36.747284354501,-52.39646959071884,526457.0,118544.0,501326.0,USAGOV -> USAGOV,0.0019213684139020495
2016-01-25,USAGOV,USAGOV,2581,739,7.359163115071678,1814.4451762882604,1206.803951956606,1842.375823324293,0.8244866330879504,0.8066640836884929,4707.824099186362,1.9121270825261512,-1.9438066300336898,45.71871367686943,36.85953356158989,-68.25359368240866,36.890134388036174,-67.9531076414799,35.738546611570214,-67.95436828295962,564096.0,130996.0,455175.0,USAGOV -> USAGOV,0.0018038884594471058
2016-02-01,USAGOV,USAGOV,1224,498,6.98937908496732,1748.7124183006536,849.468954248366,1786.4689542483661,0.6111111111111112,0.7287581699346405,4397.556372549019,1.9876633986928094,-1.9971233307385297,42.93300653594771,31.571193960231984,-47.679349748964405,31.90333008285004,-47.54873135625521,30.966335550952778,-46.648969086164065,69678.0,23394.0,68931.0,USAGOV -> USAGOV,0.0008344548024101018
2016-02-08,USAGOV,USAGOV,1697,775,7.9116087212728345,2267.7024160282854,1022.1591043017089,2301.5751325869182,0.7365939893930465,0.642899233942251,6145.670595167943,0.9364761343547436,-2.012950004705859,51.443724219210374,37.28407012597481,-47.818477982003614,37.02682675464907,-46.83797419496102,36.98166112777445,-47.12713892801441,96752.0,14524.0,95619.0,USAGOV -> USAGOV,0.0010598691807904488
2016-02-15,USAGOV,USAGOV,2844,902,11.027426160337553,2729.369198312236,2333.2921940928272,2760.377988748242,0.7257383966244726,0.6075949367088608,6813.626230661041,1.9318565400843875,-1.6098166998084658,52.51054852320675,36.983499020525755,-68.99415038962913,35.44707420957871,-69.62359362117397,35.629785862441516,-70.05348943536193,1090611.0,120472.0,1042728.0,USAGOV -> USAGOV,0.0017258161216955233
2016-02-22,USAGOV,USAGOV,1696,794,8.331367924528301,1914.438679245283,841.1079009433962,1935.7936320754718,0.6786556603773585,0.6674528301886793,5036.674528301887,0.8031250000000002,-2.2854665460040464,50.77240566037736,37.89863531622914,-58.05665609248212,37.82044259546542,-57.70912310322198,38.73043618735084,-54.66101049403342,226646.0,35293.0,223962.0,USAGOV -> USAGOV,0.0010664889185135812
2016-02-29,USAGOV,USAGOV,967,519,8.362978283350568,2243.258531540848,1262.9875904860394,2266.949327817994,0.640124095139607,0.6318510858324715,4611.808686659772,0.9205791106514999,-1.4030297200699748,48.41778697001034,37.304341263157895,-60.807528157894744,37.636525052631576,-61.176881491578946,37.105731473684216,-59.951705736842094,36692.0,7750.0,32011.0,USAGOV -> USAGOV,0.0006287508859080476
2016-03-07,USAGOV,USAGOV,2470,728,8.914979757085021,2088.225101214575,1606.5599190283401,2120.144129554656,0.6279352226720648,0.6048582995951417,4020.3364372469637,0.3150607287449394,-1.202374402163941,41.89068825910931,37.66302927696075,-47.70993531372554,36.70509033496729,-35.54795899959156,38.708045861928056,-53.14249249632362,319888.0,76746.0,304717.0,USAGOV -> USAGOV,0.0016035129267811328
2016-03-14,USAGOV,USAGOV,3852,793,9.858515057113188,2786.988577362409,420.89070612668746,2813.47507788162,0.5867082035306335,0.47585669781931467,5223.846313603323,-0.7346573208722745,-1.4307388359556688,40.31931464174455,35.27947620146911,-43.787585408184896,36.5513456925499,-37.68920114611766,37.60819779118585,-49.53169141290669,1519691.0,341920.0,1510597.0,USAGOV -> USAGOV,0.0026856456007563314
