week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,FRA,USA,2114,750,9.792336802270578,2619.447965941343,2669.9777672658465,2656.5066225165565,0.21759697256385999,0.5331125827814569,4562.691106906339,0.8444654683065275,-1.6097313778005031,29.082308420056766,43.10990066256506,-18.304857088026502,40.2013533364884,-54.34420071793661,41.30658428774254,-46.98603259062946,136895.0,61775.0,136590.0,FRA -> USA,0.0013794732552501877
2016-01-18,FRA,USA,1414,735,9.142149929278641,2708.0148514851485,2730.6647807637905,2790.6803394625176,0.29915134370579916,0.685997171145686,5608.263790664781,1.6338048090523343,-0.686815477363915,30.84865629420085,41.693043262411365,-23.928924516312055,39.99037819858157,-54.167647473049634,41.74283032624114,-37.97114624609928,30335.0,11499.0,30024.0,FRA -> USA,0.0009417036177668971
2016-01-25,FRA,USA,1301,678,8.426594926979247,2353.747117601845,2311.2098385857034,2372.5472713297463,0.20368946963873943,0.6641045349730976,4852.916986933128,1.6477325134511933,-2.513605243198175,33.91237509607994,41.421760601387845,-34.556705335389395,39.358187972243655,-62.27679869236699,39.73219814957596,-46.71113358519662,75729.0,15944.0,66801.0,FRA -> USA,0.0009092827918406372
2016-02-01,FRA,USA,1390,761,7.263309352517986,2146.05035971223,2137.8525179856115,2206.8942446043166,0.2712230215827338,0.7043165467625899,4497.2561151079135,1.4725179856115118,-0.945165018706425,32.280575539568346,41.750095692640706,-41.3482882987013,38.501237878787876,-69.69278291702742,39.98848458152958,-49.90392361904763,22606.0,6572.0,22361.0,FRA -> USA,0.0009476243262663738
2016-02-08,FRA,USA,1983,863,9.403429147755926,2365.968734241049,2430.7579425113463,2451.7483610690874,0.2692889561270802,0.5330307614725164,4272.401412002017,0.37947554210791756,-1.3951459463720246,34.42763489662128,43.100357888888915,-23.55029880050507,40.53059972727272,-60.56828682070706,41.69289257070707,-36.24723003636365,242892.0,30680.0,242498.0,FRA -> USA,0.0012384918005347437
2016-02-15,FRA,USA,1610,682,7.72360248447205,2443.7683229813665,2461.039751552795,2485.2664596273294,0.3347826086956522,0.6881987577639752,4896.210559006211,2.1149689440993784,-2.504888649051942,34.3416149068323,41.63512008114857,-30.540576430087388,39.409928196004984,-57.601191574906366,40.437145923845186,-47.176881998751576,198780.0,33678.0,198749.0,FRA -> USA,0.0009769915456855811
2016-02-22,FRA,USA,1107,630,6.558265582655826,1782.1463414634147,1807.687443541102,1887.2728093947605,0.2800361336946703,0.6865401987353207,4076.1869918699185,0.9404697380307133,-0.9834201185600873,33.242999096657634,40.69209800181653,-31.06926729155313,39.690549591280664,-62.87419901725705,40.289874386920985,-44.6787120572207,20778.0,4996.0,19848.0,FRA -> USA,0.0006961103966948905
2016-02-29,FRA,USA,2753,688,18.511805303305486,5689.911369415184,5759.359244460588,5745.525245187068,0.14202687976752634,0.6469306211405739,13149.192154013803,2.052342898656002,0.44982898858937925,26.905194333454414,37.62389280438754,-64.78915099159039,36.800996815356456,-76.98218785776953,36.919915692870156,-69.71363134478965,1194436.0,217252.0,1192915.0,FRA -> USA,0.0017900219120008842
2016-03-07,FRA,USA,1601,685,7.793254216114928,2411.1861336664583,2430.677701436602,2448.8813241723924,0.24234853216739538,0.6146158650843223,4754.5865084322295,1.5637726420986895,-1.2945683942372948,28.981886321049345,41.0822616834171,-27.774319005025124,39.45079258793971,-52.96297458479899,40.41223819095478,-42.562958286432156,54581.0,15616.0,54318.0,FRA -> USA,0.0010393620225816168
2016-03-14,FRA,USA,1756,674,11.868451025056947,2767.160022779043,2778.0364464692484,2797.482346241458,0.260250569476082,0.5518223234624146,5090.002277904328,1.4347949886104778,-2.7349854865404115,32.340546697038725,42.6390250712251,-15.162462194301995,37.79581829629629,-51.689221438176695,40.495209743589754,-31.365957593732183,129046.0,19788.0,128933.0,FRA -> USA,0.001224297423397746
