mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles
768.0,400.0,6.41015625,1759.9700520833333,1785.0299479166667,1803.5286458333333,0.45703125,0.6666666666666666,4994.734375,1.2048177083333338,-0.971646699489008,45.442708333333336,37.033992235294136,-82.11144431372549,37.42328852287583,-83.53396901960784,37.16609864052289,-82.42267830065359,103828.0,14707.0,103465.0
830.0,427.0,6.2783132530120485,1722.4506024096386,1762.379518072289,1762.8060240963855,0.2409638554216867,0.7048192771084337,4411.819277108434,2.5392771084337333,-1.0723918952135056,30.132530120481928,36.21554507990314,-74.05249548184018,37.45296679903148,-81.64983454479419,36.26412563680388,-77.98039350363196,28407.0,9269.0,28279.0
1196.0,428.0,9.399665551839464,2454.2215719063547,2500.173076923077,2476.695652173913,0.5309364548494984,0.6505016722408027,4833.14966555184,0.5432274247491633,-0.8003220111431019,43.01839464882943,28.591518979933088,-43.54971150501672,27.63903511705684,-45.79469969063545,27.60631329431436,-45.50240704849497,256970.0,53485.0,256668.0
842.0,394.0,8.838479809976247,2612.326603325416,2758.0498812351543,2760.402612826603,0.1995249406175772,0.5688836104513064,5596.8574821852735,1.2023752969121142,-0.8174257257363488,28.24228028503563,36.91934678571431,-80.98891170238097,37.256951190476215,-82.29458569047621,37.133424642857165,-81.41732715476194,34747.0,17933.0,34539.0
722.0,406.0,8.785318559556787,2333.270083102493,2359.8130193905818,2315.470914127424,0.2479224376731301,0.685595567867036,4858.836565096953,-1.0706371191135735,-2.814504689381023,35.54016620498615,35.48838664345406,-85.9594086350975,35.41014866295266,-86.02598279944291,35.27494291086352,-85.42162775766018,13966.0,3474.0,13672.0
548.0,336.0,8.682481751824817,2750.098540145985,2795.271897810219,2793.658759124088,0.4197080291970803,0.551094890510949,5922.17700729927,1.1728102189781022,-1.937259930297464,36.66058394160584,33.414557179487176,-75.61814750915751,35.907551098901095,-79.15529750915752,33.591332454212456,-77.28282260073262,12643.0,3685.0,12583.0
1057.0,421.0,5.928098391674551,1592.469252601703,1612.7029328287606,1618.379375591296,0.4200567644276253,0.7701040681173131,3694.064333017976,-0.8075685903500436,-2.48551574857471,39.13907284768212,33.786625806451624,-87.9396891859582,33.48261734597157,-95.3925880890995,33.60554119318184,-96.11637389583332,66988.0,15670.0,66394.0
1825.0,488.0,11.044931506849316,3262.930958904109,3273.2175342465757,3280.405479452055,0.2345205479452055,0.5304109589041096,5728.825205479452,-0.5004383561643836,-4.098060822954998,33.57260273972603,36.10359489571898,-68.0007420812293,36.56004917672886,-70.03888053238188,35.813967727771654,-64.54125773710197,243110.0,52643.0,243091.0
1613.0,432.0,6.283942963422195,1843.9987600743957,1887.7551146931185,1860.9175449473032,0.5294482331060136,0.8208307501549907,3958.965902045877,1.9800991940483568,-1.901093596867704,53.61438313701178,37.768151726078806,-96.40763163477158,37.58980063164479,-99.60274032770468,38.00976460913071,-97.71703569981224,579152.0,73476.0,578834.0
1340.0,401.0,7.005970149253732,2364.2029850746267,2379.737313432836,2398.326119402985,0.5970149253731343,0.505223880597015,4616.914925373134,1.9892537313432808,-2.76836388082694,47.61940298507463,15.221117635951666,-13.445855047583107,14.960675453172204,-13.315553595921468,15.360016691842896,-13.545726171450172,630113.0,68221.0,628433.0
753.0,396.0,10.274900398406375,2876.965471447543,2910.7397078353256,2892.3107569721114,0.298804780876494,0.4940239043824701,6189.31208499336,0.8549800796812749,-1.5017220007221852,37.98140770252324,37.5898617222964,-79.42620769025368,37.45577507343124,-82.79955238985315,37.54642620827771,-80.29099182910548,28864.0,4986.0,28329.0
1085.0,398.0,9.412903225806453,2610.251612903226,2658.132718894009,2501.011059907834,0.3612903225806451,0.4350230414746543,5989.185253456221,0.479354838709677,-2.441271260462519,38.70967741935484,27.922452081406096,-57.7208880999075,28.99913666049954,-67.04722945050878,29.38139586493988,-66.25536744403328,128336.0,18798.0,128288.0
547.0,375.0,9.9926873857404,2976.038391224863,2996.579524680073,2966.599634369287,0.2193784277879341,0.5009140767824497,6129.19012797075,0.8517367458866543,-0.7580821460236677,32.06581352833638,37.96330423572744,-78.09029919705341,37.89116151012891,-83.69094321178636,38.086637569060784,-77.24873912338859,4529.0,1107.0,4484.0
1391.0,481.0,9.1294033069734,2592.5334291876347,2609.2286125089863,2611.8094895758445,0.3731128684399712,0.6261682242990654,5075.647735442128,1.4517613227893602,-0.8042146535440705,36.678648454349386,35.989155351681944,-77.27767351681959,35.123706116207934,-88.10052597629972,34.73045114678897,-87.77687589984711,190944.0,41540.0,190327.0
619.0,433.0,9.24394184168013,2550.0177705977385,2551.0936995153475,2605.336025848142,0.2003231017770597,0.6478190630048465,5116.680129240711,0.1198707592891758,-2.6269596322029667,31.59935379644588,33.5076844117647,-72.77896791993464,33.31158566993464,-74.14296587745096,30.84164727124184,-67.95909997875818,8680.0,2551.0,8512.0
771.0,410.0,7.828793774319066,2290.780804150454,2323.8132295719843,2286.6303501945526,0.5045395590142672,0.5577172503242542,4546.992217898833,1.386381322957199,-0.0002127517532768,47.846952010376135,35.60904583805668,-74.54440257354926,35.61241920782725,-77.66911668960863,35.60716428205127,-75.23958797165993,134453.0,14294.0,134330.0
673.0,331.0,4.9153046062407135,1355.222882615156,1368.3610698365528,1384.0534918276371,0.3699851411589896,0.8008915304606241,3247.781575037147,1.4329866270430918,-1.5198047317463887,47.83060921248143,36.58580129323311,-73.25289366766921,37.00834228228232,-73.48160412462465,36.57534303303306,-75.1190010615616,100498.0,19839.0,99492.0
804.0,439.0,8.946517412935323,2653.0062189054725,2686.89552238806,2644.875621890548,0.3793532338308458,0.5447761194029851,5789.200248756219,0.985572139303483,-0.7360647290715869,38.69402985074627,36.652117231352726,-72.44876987484197,37.12461209860937,-76.04031399115043,36.92165857142858,-74.51481405941844,18642.0,3887.0,18539.0
664.0,402.0,8.536144578313253,2615.7560240963853,2655.356927710844,2672.6912650602408,0.3539156626506024,0.5662650602409639,4907.628012048192,0.085692771084337,-1.4864994780469545,34.93975903614458,36.99261543644717,-51.45293612557427,36.494746839694656,-65.86027094656488,35.75596337404581,-67.7715393740458,10975.0,2303.0,10886.0
939.0,420.0,7.042598509052183,2001.789137380192,2070.3897763578275,2076.0724174653888,0.1789137380191693,0.6975505857294995,4339.976570820021,-0.5882854100106496,-1.637676781635638,27.923322683706072,39.07694308681669,-74.08453228724547,39.06219035369771,-75.40371601714901,39.067755412647344,-69.37079346623797,37301.0,17293.0,37188.0
546.0,319.0,6.263736263736264,2021.2857142857144,2076.496336996337,2102.058608058608,0.2344322344322344,0.7142857142857143,4492.697802197802,0.5626373626373635,-2.608192589838738,28.51648351648352,36.5758922365989,-85.52280197781892,36.635122735674685,-89.25060733826251,36.58813752310537,-87.34928275415902,12118.0,5512.0,11962.0
458.0,307.0,6.434497816593886,1757.117903930131,1807.674672489083,1786.9104803493449,0.3056768558951965,0.6637554585152838,4650.268558951965,0.4803493449781658,-0.927962125556104,36.24454148471616,37.35651621145375,-79.11333350440529,37.37692312775332,-85.1269903832599,37.508684140969166,-81.83091269603521,9092.0,1768.0,8976.0
1445.0,650.0,9.43529411764706,2406.18892733564,2422.2200692041524,2402.629757785467,0.4124567474048443,0.4989619377162629,6814.403460207613,-1.1966782006920411,-3.2342812957693843,40.37370242214533,36.18908165477886,-70.13400404636243,35.96735952211124,-73.59017286947224,36.0225389800285,-73.06152330456496,207116.0,28220.0,207019.0
873.0,487.0,7.24971363115693,2000.0389461626576,2010.451317296678,2029.812142038946,0.27262313860252,0.6895761741122566,5182.10080183276,0.4781214203894615,-1.6060759236358797,36.93012600229095,37.86868206018519,-79.47559537152777,37.49394664351853,-83.45342177199075,37.76137638888889,-82.13124193750001,25761.0,6880.0,25152.0
483.0,328.0,8.662525879917185,2850.049689440994,2898.153209109731,2889.4658385093167,0.391304347826087,0.5341614906832298,6256.650103519669,0.9561076604554866,-0.991758594862943,36.95652173913044,34.81223889125799,-60.16131649040511,34.580410170575696,-67.60620908315565,34.03326547974413,-64.70744831556503,7073.0,1002.0,7009.0
2231.0,449.0,15.70775437023756,3327.488121918422,3358.60555804572,3360.7153742716278,0.5602868668758404,0.7808157776781712,6576.389063200359,0.7974002689376941,-4.237167886026365,42.78798744957418,34.02149194781823,-72.89247182546102,34.169036032388625,-72.517295159694,33.951161493477244,-72.67274942420143,2025392.0,204503.0,2018115.0
3959.0,608.0,8.154331901995453,2187.106592573882,2230.7522101540794,2226.312705228593,0.4991159383682748,0.6665824703207881,5492.885829754989,-0.0576155594847202,-3.958042110487232,37.53725688305128,35.43116356348001,-73.29780190617087,35.39198131006578,-77.00696418057655,35.291782101669234,-76.84565739428416,1241361.0,230211.0,1239424.0
1877.0,502.0,9.15716568993074,2176.048481619606,2242.3574853489613,2193.4331379861483,0.5098561534363346,0.7581246670218433,4058.1555673947782,2.212413425679274,-3.9887315987126377,36.71283963771977,34.906220811099274,-87.85113886339389,34.704730362860225,-92.81321507470658,34.93092326574177,-91.52258281750277,692462.0,89730.0,689444.0
1421.0,390.0,7.5763546798029555,1980.64672765658,2017.3680506685432,1995.6896551724135,0.6938775510204082,0.8810696692470091,3216.2420830401124,1.6648838845883185,-3.451743356536451,35.833919774806475,34.850846561604634,-84.97368543982807,35.30238653295137,-86.51634290401127,34.92050214899718,-86.3808709555874,811265.0,168163.0,808569.0
905.0,401.0,15.976795580110496,5214.19226519337,5258.561325966851,5249.595580110497,0.3038674033149171,0.5337016574585636,9357.394475138122,-0.2026519337016571,-2.152788506897682,34.950276243093924,37.11100069351232,-73.81896495525726,36.942609619686806,-76.43222676733778,37.1089615212528,-75.65958048098432,47667.0,11262.0,47493.0
1094.0,472.0,8.492687385740401,2510.661791590493,2571.5457038391223,2532.901279707496,0.3071297989031079,0.6069469835466179,5556.898537477148,0.5108775137111516,-2.0983137072639617,33.92138939670932,36.06178071361504,-79.17790247887321,35.981493727699544,-82.8310314929577,36.1202265915493,-78.7706504413145,57409.0,17921.0,56693.0
1342.0,401.0,8.278688524590164,2799.8919523099853,2880.349478390462,2860.92697466468,0.4560357675111773,0.624441132637854,4785.424739195231,-0.9868852459016396,-1.386509473681612,39.90312965722802,35.10471574420342,-79.00297287958107,34.93481155572174,-86.91169999775606,35.10970841436048,-86.11559658937908,156358.0,37403.0,156346.0
