mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles
14920.0,4466.0,7.924396782841823,1801.5093163538877,1838.5463136729225,1823.8536863270776,0.2426943699731903,0.6801608579088472,3887.7014075067023,-0.027037533512065,-4.969526117599507,38.79356568364612,37.108250123826245,-85.59701953544709,37.05831146210353,-84.78220839515596,37.12362867464946,-84.89935880337472,2037659.0,441288.0,2019587.0
13642.0,3670.0,7.477202756194107,1741.2817035625276,1775.5227972438058,1786.389752235743,0.3826418413722328,0.7110394370326931,3834.478668816889,-0.3217710013194551,-5.040779460191319,43.305966867028296,37.72835843138712,-91.48162242893255,37.431018676831535,-90.8457783930084,37.51904882930454,-90.91923066522858,4136670.0,801121.0,4052434.0
15992.0,4217.0,8.588544272136067,2066.8311655827915,2085.684217108554,2069.500062531265,0.2630065032516258,0.713231615807904,4317.210667833917,-0.6046585792896406,-4.659624280780277,37.07041020510256,38.264334118044886,-94.95599849209654,38.152311181208816,-93.91361593727883,38.15054465737216,-92.46681194726858,2718629.0,732552.0,2704594.0
15463.0,4459.0,8.296320248334734,1882.5136778115505,1900.3068615404516,1910.7631766151455,0.2498868266183793,0.7045851387182306,3718.512384401474,0.1686800750177839,-5.695028790275629,38.96979887473324,37.193789478045616,-92.39935521914568,37.10678284566173,-91.27204052703073,37.25795816211741,-91.7282660313819,2194726.0,472088.0,2166782.0
17280.0,4286.0,8.165856481481482,1890.3536458333333,1907.699074074074,1911.504861111111,0.2806712962962963,0.6631944444444444,4410.288773148148,-1.1351909722222198,-4.661154561297386,38.08854166666666,37.56825021027484,-88.97196581133538,37.77853794967372,-88.04993546697371,37.61754573741836,-89.22141626258176,3810362.0,859009.0,3794027.0
25359.0,5517.0,12.451871130565085,3143.363500138018,3177.219724752553,3174.4745060925115,0.2625103513545487,0.7301155408336291,6037.168145431602,0.1313853069915997,-2.744742430317346,36.63630269332387,35.54388811346122,-87.3047045187778,35.93709314673907,-85.68967618623758,35.644061746364585,-86.28369540125183,7191448.0,1308852.0,7097011.0
19490.0,4967.0,6.7945613134941,1618.4975885069266,1632.0185736275014,1644.6865059004615,0.2259620318111852,0.7970241149307337,3762.037968188815,-0.1933401744484363,-4.5172043651288245,38.30066700872242,38.2656571222992,-88.6497484374348,37.90971465250688,-87.21671583590334,38.16759687266632,-87.94739656492592,4736778.0,833894.0,4389695.0
15349.0,4824.0,6.794058244836797,1612.4749495081112,1637.9190175255717,1634.2035963254934,0.259169978500228,0.7712554563815233,3791.819988272852,-0.2571437878689153,-4.623639730227761,40.385041370773344,37.64054770635458,-86.04867164006714,37.63419154314389,-85.63889741204034,37.61088147357867,-85.71255710662224,2163394.0,389040.0,2113870.0
14085.0,4353.0,6.520908768193113,1514.827050053248,1559.5594604188852,1562.629179978701,0.2616968406105786,0.7484558040468584,3635.419737309194,-0.2238764643237485,-4.707481066705202,38.28541001064963,37.936436519798384,-88.14920949244069,37.9662927573794,-88.23205798344144,37.799392725701935,-88.05817831821466,1544723.0,353679.0,1479680.0
13467.0,4169.0,7.435211999702978,1803.071953664513,1804.3669711145765,1837.5847627533967,0.2647954258557956,0.6939927229524022,3954.3824905324127,-0.6497809460161864,-4.76778131526913,38.92552164550382,37.809468411432974,-88.48179023595357,37.5211954313653,-87.44721436299373,37.44877371417837,-87.76046388431769,1595596.0,355324.0,1586261.0
15570.0,4107.0,7.199678869621066,1713.2718047527296,1749.902376364804,1755.566538214515,0.2886962106615285,0.754592164418754,3819.4692357096974,-0.2974245343609513,-4.8447904941778175,37.969171483622354,38.09646460252161,-87.4286038625647,37.90881484094342,-86.69584488790942,37.88855912861733,-86.99122773133462,2228227.0,573202.0,2197785.0
16916.0,4473.0,8.367167179002129,2012.5331047528969,2040.7692716954364,2044.6029203121304,0.2677346890517852,0.6733861432962875,4118.091392764247,-0.0532158902813902,-4.471282924035685,40.25892646015607,37.339057543554,-89.39011697314699,37.12650685305781,-88.16249104487588,37.19669790976816,-88.58324121212327,3073445.0,554487.0,3025453.0
13661.0,4340.0,7.933313813044433,2011.855940267916,2030.3542200424563,2032.4441109728425,0.2509333138130444,0.6621037991362272,4032.8187541175607,-0.0300856452675521,-4.337132879536585,36.758656028109215,38.27288683902511,-88.3266169045115,38.12018193718054,-87.30635757893185,38.09058383139492,-88.2675363018002,1308284.0,362584.0,1301736.0
17142.0,4390.0,7.863259829658149,1858.686384319216,1895.3425504608565,1902.577587212694,0.2766304981915762,0.7185859292964648,3971.874460389686,0.15561194726403,-5.100999477352152,40.568778438921946,35.554301669528215,-81.86921799917118,35.7086250701558,-84.26414184068435,35.714328693387074,-84.48924969101886,4153667.0,741817.0,4145545.0
13033.0,3748.0,8.224890662165272,1931.7696616281744,1957.3964551523056,1969.265249750633,0.1979590270850917,0.6831888283587816,3809.622036369216,0.1733752781401049,-5.274428322364683,36.71449397682805,37.97384966842132,-88.23389265356079,38.02315103684242,-88.06231246857617,38.05481691919535,-88.11792907352971,1920536.0,442706.0,1866401.0
15817.0,4137.0,7.9546058038819,1813.251944110767,1847.1025478915087,1847.913004994626,0.2127457798571157,0.7209963962824809,3517.04571031169,-0.3664538155149529,-4.8243538981347855,35.50230764367453,37.78747539851369,-91.66986706765722,37.73814251409544,-91.4397036525497,37.77450995835483,-91.56242852998456,3097706.0,660174.0,3034260.0
17715.0,3951.0,8.53265594129269,2145.912447078747,2167.4859158904883,2144.8679650014114,0.2874400225797346,0.6645780412080158,3908.8788032740617,0.0580807225515125,-4.568350156706244,40.356195314705054,37.5543096791568,-88.5620350650342,37.79281623365566,-87.69460729020518,37.53422172357592,-88.94579252710696,4912732.0,927182.0,4879309.0
16498.0,4352.0,7.886168020366105,1940.8047036004364,1899.879621772336,1980.979330827979,0.2750030306703843,0.7147533034307189,3792.579282337253,0.0564250212146925,-4.115428651868717,38.75075766759607,37.01093258725002,-86.13118912181416,37.27341369720662,-85.17159818171265,37.068137124870034,-86.02238835126214,4422953.0,800483.0,4208581.0
15426.0,3968.0,7.99124854142357,2122.9078179696617,2160.2788149876837,2170.3042914559837,0.1815765590561389,0.7021262803059769,4255.475690392843,-0.3617399196162302,-3.7495867067578703,33.25813561519512,38.70578640277415,-86.51445157792469,38.21227203480768,-86.48515039734392,38.66451897278214,-85.50000486162025,2874724.0,679358.0,2779587.0
18124.0,4500.0,7.846115647759876,1877.967225777974,1899.2442617523725,1896.912712425513,0.2256676230412712,0.6842308541160892,3878.5726109026714,-0.7291657470756968,-5.419867325422072,37.7775325535202,38.04003345065284,-85.58741488365234,37.647499079751135,-83.64874263386227,37.80625746455181,-83.51724651684168,3292196.0,661310.0,3268583.0
13985.0,3401.0,8.021022524133,2131.290239542366,2154.0468358956023,2167.582195209153,0.2755809796210225,0.7661780479084733,4013.198998927422,-0.8852270289596,-5.155498598184654,37.33714694315338,37.031998243448,-94.0627414848746,36.99835426351877,-90.48440756125912,37.11080665778635,-92.70910885979356,4706200.0,550454.0,4677949.0
22433.0,5229.0,7.261043997681987,1862.2821290063744,1786.7784513885792,1893.9814113136897,0.2545357286140953,0.7849150804618197,4136.750813533634,0.1167253599607727,-4.090769571814399,33.710159140551866,38.0138772521512,-91.92296535828308,37.23633600896368,-90.97947270787095,37.5857306306919,-91.05368117416708,4222359.0,1030498.0,4201344.0
18005.0,4373.0,7.013829491807831,1725.6568175506804,1755.620272146626,1767.2974729241878,0.266925853929464,0.728742016106637,4000.102304915301,-0.5081977228547628,-4.720290558857085,38.141627325742846,37.66399180862374,-94.922510527823,37.52270257662193,-93.43393106180103,37.535575229306446,-94.71350658585024,3810140.0,709123.0,3723046.0
16614.0,4609.0,7.892981822559287,1829.651558926207,1861.8008908149752,1866.175935957626,0.2438906945949199,0.7307692307692307,4107.129469122427,0.1250511616708811,-4.413103244794235,40.58324304803178,37.10766099345835,-84.4783323165007,36.73106639043475,-83.38061296362461,37.07899454751124,-83.79961702035871,3607464.0,640966.0,3452415.0
17544.0,4631.0,7.092339261285909,1871.93906748746,1906.6427838577288,1904.3043205654355,0.3436502507979936,0.6814295485636115,4174.788189694483,-1.067601459188331,-4.595597704465374,44.15298677610579,37.50002396803711,-86.92452569166225,37.44857608778222,-87.47290066317363,37.46331995402432,-87.47095050700675,6447476.0,1012110.0,6408246.0
12457.0,3439.0,9.81978004334912,2347.4538010757005,2360.458938749297,2385.3841213775386,0.1741189692542345,0.5670707232881111,4324.978164887212,-0.7995665087902375,-4.823200798052537,32.524684916111426,36.63174098829251,-87.11372080258398,37.3987145505938,-86.7619733153812,37.45552491155826,-86.06595074880872,2052998.0,643553.0,2032186.0
18088.0,3994.0,10.930229986731534,2701.1140535161435,2726.3788146837683,2723.732253427687,0.2922379478107032,0.604765590446705,5173.821428571428,-0.5629533392304265,-3.265273575880641,34.88832375055285,37.739293995381104,-83.56217457818592,37.62101628252637,-83.67996985687246,37.734161123928665,-83.90160515420146,5132749.0,1107854.0,5077736.0
